;Unnamed: 0;episode;advantage;reward;value_loss;policy_loss;total_loss;cx;cvx;py;px;pav
361826;826;289500;;;;;;-0,100775205;0,01480281;0,999834643;0,018184788;0,005907973
361827;827;289500;;;;;;-0,090668328;0,236341432;0,99999992;0,000399764;-0,43755129
361828;828;289500;;;;;;-0,081656918;0,077095322;0,999889812;-0,014844651;-0,111022286
361829;829;289500;;;;;;-0,086608455;-0,166392922;0,999998376;-0,001802269;0,384521574
361830;830;289500;;;;;;-0,089973636;0,017918253;0,999969459;0,007815456;0,005334612
361831;831;289500;;;;;;-0,080335923;0,223088905;0,999957957;-0,009169752;-0,417663485
361832;832;289500;;;;;;-0,073182158;0,039972134;0,9997679;-0,021544045;-0,052888516
361833;833;289500;;;;;;-0,080069274;-0,191102833;0,999981531;-0,006077554;0,409030795
361834;834;289500;;;;;;-0,085156724;-0,009041364;0,999986812;0,005135688;0,029640978
361835;835;289500;;;;;;-0,077840552;0,182943702;0,999957453;-0,009224586;-0,368113041
361836;836;289500;;;;;;-0,071945749;0,033500843;0,999774793;-0,021221777;-0,073225178
361837;837;289500;;;;;;-0,079690054;-0,207982779;0,999980871;-0,006185317;0,410672992
361838;838;289500;;;;;;-0,087016061;-0,053213935;0,999971779;0,007512674;0,089297265
361839;839;289500;;;;;;-0,082210876;0,148504719;0,999993619;-0,003572282;-0,323786438
361840;840;289500;;;;;;-0,076586157;0,047596794;0,999863613;-0,016515283;-0,122715443
361841;841;289500;;;;;;-0,083676361;-0,200526178;0,999992252;-0,003936583;0,380188465
361842;842;289500;;;;;;-0,091306724;-0,065046459;0,999954551;0,009533913;0,101930968
361843;843;289500;;;;;;-0,087116472;0,14068234;0,999999557;-0,000941102;-0,316435933
361844;844;289500;;;;;;-0,082002394;0,039897725;0,999912148;-0,013255033;-0,11174006
361845;845;289500;;;;;;-0,089207686;-0,198704049;0,999999828;-0,000587288;0,37580651
361846;846;289500;;;;;;-0,096689917;-0,062545851;0,999919098;0,01271994;0,100567773
361847;847;289500;;;;;;-0,09206979;0,149609238;0,999998426;0,001774008;-0,327122718
361848;848;289500;;;;;;-0,086572312;0,043843184;0,999943091;-0,010668377;-0,108487047
361849;849;289500;;;;;;-0,09359061;-0,196546465;0,999996831;0,002517396;0,386499077
361850;850;289500;;;;;;-0,100497104;-0,049890574;0,999875218;0,015797133;0,093531147
361851;851;289500;;;;;;-0,094794236;0,168277472;0,99999188;0,004029915;-0,342983395
361852;852;289500;;;;;;-0,088244237;0,05817382;0,999959769;-0,008969965;-0,11262501
361853;853;289500;;;;;;-0,094311021;-0,182074353;0,999991918;0,004020378;0,384186655
361854;854;289500;;;;;;-0,099599898;-0,01933933;0,999874758;0,015826216;0,058954805
361855;855;289500;;;;;;-0,092025109;0,195368364;0,999997901;0,002048666;-0,371409088
361856;856;289500;;;;;;-0,083993301;0,077877425;0,9999241;-0,012320509;-0,129100621
361857;857;289500;;;;;;-0,088776149;-0,162746817;0,999999826;-0,000590626;0,363275528
361858;858;289500;;;;;;-0,093166374;-0,009123581;0,999946425;0,010351171;0,050310992
361859;859;289500;;;;;;-0,085315689;0,19593218;0,999993962;-0,003475007;-0,367413878
361860;860;289500;;;;;;-0,077505499;0,07216128;0,999849624;-0,017341523;-0,119233817
361861;861;289500;;;;;;-0,082725964;-0,169937223;0,999986951;-0,005108636;0,369687736
361862;862;289500;;;;;;-0,087741382;-0,019973539;0,999979983;0,006327285;0,05852855
361863;863;289500;;;;;;-0,081146687;0,171973407;0,999981797;-0,006033686;-0,336556643
361864;864;289500;;;;;;-0,074426256;0,060088877;0,999819172;-0,019016375;-0,116073087
361865;865;289500;;;;;;-0,080427758;-0,181630179;0,999977572;-0,00669743;0,369897813
361866;866;289500;;;;;;-0,086875387;-0,04769434;0,999981628;0,006061692;0,090698831
361867;867;289500;;;;;;-0,082004592;0,146774948;0,999990399;-0,004381945;-0,308963031
361868;868;289500;;;;;;-0,076426283;0,047491878;0,99986348;-0,016523388;-0,111997627
361869;869;289500;;;;;;-0,082718126;-0,181103736;0,999987841;-0,004931255;0,349722385
361870;870;289500;;;;;;-0,08983735;-0,064283453;0,999967417;0,008072463;0,108712792
361871;871;289500;-130,9802246;892,8143459;3534591;112051,5234;1879347;-0,08983735;-0,064283453;0,999967417;0,008072463;0,108712792
